,ENDDATE,F001V,F002V,F003N,F004N,F005N,F006N,F007N,F008N,F009N,F010N,F011N,F012N,F013N,F014N,F015N,F016N,F017N,F018N,F019N,F020N,F021N,F022N,F023N,F024N,F025N,F026N,F027N,F028N,F029N,F030N,F031N,F032N,F033N,F034N,F035N,F036N,F037N,F038N,F039N,F040N,F041N,F042N,F043N,F044N,F045N,F046N,F047N,F048N,F049N,F050N,F051N,F052N,F053N,F054N,F055N,F056N,F057N,F058N,F059N,F060N,F061N,F062N,F063N,F064N,F065N,F066N,F067N,F068N,F069D,F070V,F071V,F076N,F077N,F078N,F079N,F080N,F081N,F082N,F083N,F084N,F085N,F086N,F087N,F088N,ORGNAME,SECCODE,SECNAME,STARTDATE
0,2017-12-31,033003,定期报告,2.634286,2.66,2.63,2.41,7.2591,11.2387,,2.4251,8.985,0.588,74.969,23.44,30.853,8.256,7.18,6.14,0.339,9.725,17.587,15.538,8.008,5.86,1.15,11.027,23.0,45.0,1.658,217.0,313.0,3.57,68.443,28.428,,17.339,9.109,258.391,224.013,29.72,66.577,1.426,1.179,40.535,,50718819000.0,27.903,72.097,66.6,,556.793,51.349,17.701,20.63,7.332,45.431,42.323,24.843,1.42,3.725,20.524,14.797,131.333,86.126,9.852,21.1753,25.88,23.38,2017-12-31,071001,合并本期,15614103000.0,1669586000.0,25.3,17.5,68.0,23.4395,1.3133,8.97,61.01,22670723000.0,7.06,11.87,69.17,美的集团股份有限公司,000333,美的集团,2017-01-01
1,2016-12-31,033003,定期报告,0.660107,0.6601,0.6601,0.6085,4.0703,5.6892,,0.0109,50.224,1.342,34.784,11.603,12.315,11.529,44.77,9.782,-1.779,97.613,16.305,1.522,2.143,0.396,0.258,3.382,236.0,168.0,0.38,949.0,1398.0,0.27,67.079,42.8,1.333,7.24,7.049,302.901,3.88,95.473,3.705,24.085,22.341,1030.845,,2623993594.03,24.82,75.18,1668.151,,3.989,-12.684,-21.379,8.907,-7.06,8.498,-44.206,-22.782,-0.435,0.579,349.148,262.49,88.707,121.643,9.724,10.6962,12.06,11.12,2017-12-31,071002,合并上期,416778396.39,35329193.59,70.67,37.34,404.0,12.494,0.72,35.91,181.7,604322946.29,12.9,6.01,52.84,北京双鹭药业股份有限公司,002038,双鹭药业,2016-01-01
2,2016-12-31,033003,定期报告,0.553883,0.5539,0.5539,0.3922,3.0907,5.2616,,1.0307,15.835,0.992,61.981,10.527,3.154,7.82,23.693,16.339,-0.915,29.446,21.015,2.228,1.693,0.904,0.33,4.239,162.0,213.0,0.657,548.0,1091.0,0.468,50.116,31.959,,23.837,7.175,95.331,37.295,71.482,26.66,3.852,2.934,123.098,,1657324065.75,51.195,48.805,288.112,,60.839,13.504,0.187,11.05,-8.106,8.165,,-23.426,-0.027,0.214,22.366,10.916,39.05,107.179,2.91,7.4538,11.09,7.85,2017-12-31,071002,合并上期,237988649.86,98117729.28,33.14,19.11,375.0,8.009,2.096,19.78,17.22,344937502.68,15.69,11.53,57.65,紫光国芯股份有限公司,002049,紫光国芯,2016-01-01
3,2016-12-31,033003,定期报告,0.616936,0.62,0.62,0.63,0.9218,3.3058,,0.9464,19.995,0.738,65.43,18.662,4.491,14.657,16.327,3.582,0.609,23.333,5.98,7.065,4.392,7.048,0.898,4.603,51.0,82.0,2.293,157.0,401.0,1.301,38.715,13.411,0.088,36.238,16.965,935.064,52.978,65.331,34.611,1.238,0.79,16.605,,283693305.55,9.661,90.339,66.956,,59.381,110.065,271.035,32.178,9.595,50.689,1444.101,339.12,0.008,0.875,55.293,49.951,141.48,111.461,17.288,19.0558,21.67,22.13,2017-12-31,071002,合并上期,474162941.69,-9797845.52,40.47,6.43,133.0,36.3885,0.3431,18.72,65.63,1791975385.91,6.35,11.44,15.88,江西赣锋锂业股份有限公司,002460,赣锋锂业,2016-01-01
4,2016-12-31,033003,定期报告,1.520532,1.38,1.36,1.6,1.705,4.6171,,2.6558,56.539,1.118,28.752,32.933,6.525,16.152,38.725,5.07,2.446,122.548,8.436,32.357,2.578,7.722,0.417,2.562,11.0,140.0,1.388,259.0,863.0,1.019,34.929,38.381,0.1,12.028,13.209,121.54,117.862,40.972,48.291,1.318,1.16,50.603,,945361545.74,45.139,54.861,99.619,,409.766,109.15,510.035,49.436,-5.598,49.088,1122.048,329.068,0.928,1.786,59.835,32.826,99.429,87.52,15.852,38.1208,39.41,44.24,2017-12-31,071002,合并上期,1750248118.59,-238197183.87,70.14,6.44,151.0,23.6507,1.1849,0.07,6.89,3506908476.88,1.82,2.67,9.18,天齐锂业股份有限公司,002466,天齐锂业,2016-01-01
5,2016-12-31,033003,定期报告,0.589587,0.29,0.29,0.5474,1.7664,4.5522,,1.5655,14.503,0.613,70.804,12.952,0.254,7.325,10.763,8.761,0.104,17.951,12.475,3.85,4.32,4.274,0.681,3.327,94.0,83.0,1.379,261.0,529.0,1.281,48.186,25.529,,25.246,23.085,322.79,117.959,44.313,52.271,1.207,0.903,30.825,,363204567.27,23.652,76.348,86.427,,151.592,73.449,66.432,13.781,157.332,76.354,-97.975,152.054,0.14,0.111,2.697,2.059,14.982,88.202,1.076,12.0257,13.88,12.89,2017-12-31,071002,合并上期,233813127.15,18002059.35,29.25,17.03,177.0,13.0879,0.187,29.85,74.01,528055733.7,17.23,12.16,58.21,惠州亿纬锂能股份有限公司,300014,亿纬锂能,2016-01-01
6,2016-12-31,033003,定期报告,2.253677,2.25,2.25,2.0084,3.4145,5.4933,,0.6636,74.746,1.366,8.2,41.026,1015.479,31.728,69.886,23.608,-3.069,213.424,26.127,152.846,,0.836,0.454,4.357,2.0,,0.519,693.0,793.0,0.682,87.274,94.148,,,9.564,9718.656,38.128,72.397,27.603,3.194,3.194,300.73,,2445513319.57,1.018,98.982,306.396,,39.27,20.23,26.572,38.832,-3.826,14.642,-25.591,19.056,0.671,1.578,76.119,75.344,70.022,103.173,20.798,36.5611,49.61,44.21,2017-12-31,071002,合并上期,1079714775.82,131861879.69,90.0,37.04,,22.8974,0.7983,8.16,15.28,745170965.85,0.28,,41.16,浙江核新同花顺网络信息股份有限公司,300033,同花顺,2016-01-01
7,2016-12-31,033003,定期报告,0.542455,0.5425,0.5425,0.5123,0.869,7.326,,5.3404,6.831,0.301,83.035,7.405,32.577,5.087,7.44,8.286,-0.157,8.645,9.988,3.2,4.971,2.556,0.684,4.061,113.0,72.0,1.207,298.0,526.0,1.034,59.959,19.397,,18.71,15.908,684.161,61.294,61.999,38.001,1.808,1.47,35.078,,579707827.15,12.752,87.248,145.062,,81.836,55.104,647.561,8.002,9.846,24.249,-0.531,1519.203,0.256,-0.391,-9.966,-8.695,-71.98,63.004,-3.304,6.9927,7.69,7.26,2017-12-31,071002,合并上期,93765492.0,5522266.2,18.55,10.15,185.0,15.7984,0.5596,41.7,64.25,322304969.27,26.81,9.55,54.7,北京当升材料科技股份有限公司,300073,当升科技,2016-01-01
8,2016-12-31,033003,定期报告,0.041799,0.042,0.042,0.0391,0.3147,1.6723,,0.3035,7.324,1.372,79.503,2.5,,2.41,6.87,14.893,-1.541,8.225,15.313,6.593,4.757,0.801,0.351,0.716,55.0,76.0,0.737,488.0,1026.0,0.367,48.617,42.712,,10.158,47.181,591.429,3.635,96.493,3.507,16.207,14.56,692.214,,430345937.8,14.463,85.537,855.215,,3.669,-20.301,-1.719,1.498,-7.294,-0.166,61.573,-11.974,0.204,0.217,417.093,356.769,518.779,74.745,12.512,2.3394,2.5,2.34,2017-12-31,071002,合并上期,21295041.67,1457758.28,33.25,13.87,131.0,8.8593,1.032,7.21,46.53,104694824.04,6.13,8.16,41.71,河北建新化工股份有限公司,300107,建新股份,2016-01-01
9,2016-12-31,033003,定期报告,0.04238,0.0424,0.0424,-0.1434,0.9648,6.5961,,4.4435,-5.139,1.832,53.636,0.643,21.524,0.624,6.314,69.301,-1.08,7.668,69.946,9.454,0.876,0.129,0.099,1.969,38.0,411.0,0.126,2853.0,3644.0,0.102,76.598,23.715,,9.724,3.451,122.008,3.392,96.719,3.281,42.48,38.349,1007.411,,848796774.81,45.043,54.957,1090.142,,3.501,59.312,-77.996,0.745,-47.287,0.757,84.549,,0.972,-0.395,-321.182,-176.51,-931.97,123.053,-5.791,-2.1742,0.65,-2.19,2017-12-31,071002,合并上期,-23864218.01,30916307.66,37.01,49.27,449.0,0.578,-4.7214,383.71,16.34,6591775.73,1.14,9.1,133.14,北京君正集成电路股份有限公司,300223,北京君正,2016-01-01
